#
# Undirected graph - hops. Hop plot. EffDiam: 16.6381, G(10000, 10000) (Sat Feb 18 14:43:54 2017)
#
# Number of hops	Number of pairs of nodes
0	10000
1	10000
2	35663.8
3	74934.1
4	152565
5	305106
6	603685
7	1.18467e+006
8	2.29952e+006
9	4.37002e+006
10	7.98749e+006
11	1.37558e+007
12	2.18577e+007
13	3.15864e+007
14	4.14493e+007
15	4.99139e+007
16	5.62078e+007
17	6.0345e+007
18	6.27914e+007
19	6.41239e+007
20	6.48007e+007
21	6.51317e+007
22	6.52879e+007
23	6.53571e+007
24	6.53863e+007
