#
# Undirected graph - shortest path. G(10000, 14813). Diam: avg:4.72  eff:5.94  max:17 (Sat Feb 18 15:50:36 2017)
#
# Number of hops	Number of shortest paths
0	10000
1	29626
2	1.30193e+006
3	1.1813e+007
4	2.57348e+007
5	2.28035e+007
6	1.19709e+007
7	4.73096e+006
8	1.68951e+006
9	620414
10	225652
11	78564
12	22446
13	5498
14	1336
15	336
16	80
17	10
