#
# Undirected graph - scc distribution. G(1965206, 2892424). Largest component has 0.897627 nodes (Fri Mar 03 02:02:52 2017)
#
# Size of strongly connected component	Number of components
2	69305
3	13352
4	3430
5	1036
6	334
7	132
8	52
9	15
10	6
11	5
12	1
13	1
1.76402e+006	1
