#
# Undirected graph - wcc distribution. G(1965206, 2766607). Largest component has 0.926399 nodes (Fri Mar 03 02:04:31 2017)
#
# Size of weakly connected component	Number of components
1	117420
2	10001
3	1664
4	372
5	79
6	36
7	11
8	4
9	1
11	1
1.82056e+006	1
